Delta,Gamma,Vega,Theta,Rho,Stock Price
0.0009174326039451515,0.0003110898644849087,0.0015554493224245432,-4.8570147551898154e-05,0.0004347221264394784,50.0
0.001085676578798928,0.00035946607767830125,0.0018336391763189121,-5.735007353868878e-05,0.000519277015686456,50.50251256281407
0.001279694653879722,0.00041375072345807784,0.002152755430795173,-6.744206553646139e-05,0.0006177599225713349,51.00502512562814
0.0015025774942827785,0.0004744298642844361,0.002517349946535874,-7.899608272110129e-05,0.0007320141455686463,51.50753768844221
0.0017576629198950344,0.0005420006377223434,0.002932272584753503,-9.217263934619298e-05,0.0008640575027650824,52.01005025125628
0.002048540728587793,0.0006169682544145223,0.0034026653772733957,-0.00010714274759415768,0.0010160898198267195,52.51256281407035
0.0023790559401558695,0.0006998427185204527,0.003933953394011399,-0.000124087760189615,0.001190499705819097,53.015075376884425
0.0027533103277125165,0.0007911352959443517,0.004531832181220083,-0.00014319910768097101,0.0013898704982707177,53.517587939698494
0.0031756621170800697,0.0008913547600162997,0.005202251683259698,-0.00016467792641286115,0.0016169852616194672,54.02010050251256
0.0036507237506320836,0.00100100344823382,0.00595139660284871,-0.00018873457442897533,0.0018748307276177803,54.52261306532663
0.004183357629824281,0.0011205731671445726,0.006785663199088513,-0.000215588033843119,0.00216660007237066,55.0251256281407
0.004778669770048279,0.0012505409853935763,0.00771163256831995,-0.00024546519957569906,0.002495694432386133,55.527638190954775
0.005442001322172535,0.001391364957320551,0.008736040499304775,-0.00027860005575145916,0.002865723071246966,56.030150753768844
0.006178917936899436,0.0015434798212373168,0.009865744040572102,-0.00031523274246988086,0.0032805021191570968,56.53266331658291
0.006995196970547165,0.0017072927176166313,0.011107684963267014,-0.00035560851706952564,0.00374405181954134,57.03517587939699
0.007896812553733598,0.0018831789728698967,0.012468850346742541,-0.00039997661538923433,0.004260592229929021,57.537688442211056
0.008889918567368971,0.002071477994182596,0.013956230555740703,-0.00044858901986081443,0.004834537338358046,58.040201005025125
0.009980829593022955,0.0022724893200240953,0.015576774916642017,-0.0005016991425286342,0.005470487571306253,58.54271356783919
0.011175999926810865,0.002486468869477737,0.01733734543533093,-0.0005595604322624441,0.006173220684496561,59.04522613065326
0.012482000767128883,0.002713625431479624,0.01924466893017588,-0.0006224249164927649,0.00694768104362008,59.54773869346734
0.013905495706586673,0.0029541174324552322,0.021305287980010013,-0.0006905416887382525,0.007798967317872402,60.050251256281406
0.015453214677068007,0.0032080500177512354,0.023525511108432803,-0.0007641553539979975,0.008732318624988201,60.552763819095475
0.01713192651376969,0.0034754724787346503,0.02591136264195379,-0.0008435044447382573,0.009753099181985202,61.05527638190955
0.01894841031912001,0.003756376053534761,0.028468532690263382,-0.0009288198207043218,0.010866781530888716,61.55778894472362
0.020909425820491583,0.004050692125202319,0.03120232770213735,-0.001020323066128616,0.012078928423114262,62.06030150753769
0.023021682926464847,0.004358290836624591,0.03411762205014535,-0.0011182248980829035,0.01339517345976125,62.562814070351756
0.025291810694964605,0.00467898013693363,0.03721881109150724,-0.0012227235997351706,0.014821200597652967,63.065326633165824
0.02772632593282239,0.0050125052694496375,0.04050976614128454,-0.0013340034921229436,0.01636272264240579,63.5678391959799
0.030331601650173675,0.005358548706478442,0.04399379177782894,-0.0014522334577486541,0.018025458859993883,64.07035175879398
0.033113835594596075,0.0057167305315999305,0.047673585879352005,-0.001577565528846567,0.019815111847095373,64.57286432160804
0.03607901908905516,0.006086609265502636,0.05155120276497846,-0.001710133552573014,0.021737343807873094,65.07537688442211
0.0392329063946236,0.006467683126998595,0.0556280197841306,-0.001850051944643271,0.02379775239069758,65.57788944723617
0.0425809848136715,0.0068593917166437845,0.05990470766502537,-0.001997414542091431,0.026001846242623743,66.08040201005025
0.04612844574189641,0.007261118106439397,0.06438120489693527,-0.002152293564877105,0.028355020442158128,66.58291457286433
0.0498801568683349,0.0076721913154407205,0.06905669638221933,-0.0023147386950199173,0.03086253197201532,67.08542713567839
0.053840635711506206,0.0080918891477853,0.07392959655348251,-0.002484776280823707,0.033529475393165586,67.58793969849246
0.058014024667281096,0.008519441366700575,0.07899753710914584,-0.0026624086725735067,0.03636075887957431,68.09045226130652
0.06240406773012272,0.008954033175483713,0.08425735947774368,-0.002847613694865296,0.03936108076967925,68.5929648241206
0.06701408903420326,0.00939480897427666,0.0897051120779365,-0.0030403442594764993,0.04253490678591145,69.09547738693468
0.07184697334477741,0.009840876359698408,0.09533605239808329,-0.0032405281214206256,0.04588644806753908,69.59798994974875
0.07690514861328529,0.010291310333044259,0.10114465387673267,-0.0034480677795664825,0.049419640154887895,70.10050251256281
0.08219057069216729,0.010745157681816253,0.1071246175240389,-0.003662840521955578,0.05313812305467936,70.60301507537687
0.08770471028751864,0.01120144149880228,0.11326888818433573,-0.0038846986147345872,0.05704522250695344,71.10552763819095
0.09344854220966975,0.011659165802758923,0.11956967530227691,-0.004113469632444781,0.06114393256391521,71.60804020100502
0.09942253696375392,0.012117320224958964,0.12601847801944965,-0.00434895692628915,0.06543689958020865,72.1105527638191
0.10562665470449156,0.012574884726416945,0.1326061143954786,-0.00459094022594042,0.06992640770269344,72.61306532663316
0.11206034156193873,0.013030834311480975,0.1393227545176284,-0.004839176369468168,0.07461436593591937,73.11557788944724
0.11872252832799501,0.013484143704650012,0.14615795723599137,-0.005093400155058514,0.07950229684728885,73.6180904522613
0.12561163147716148,0.013933791958914372,0.15310071023768632,-0.005353325307381786,0.08459132696349775,74.12060301507537
0.13272555647951528,0.014378766965591873,0.16013947315318977,-0.0056186455507362615,0.08988217889736756,74.62311557788945
0.14006170334924894,0.014818069837514039,0.16726222337107552,-0.005889035780464477,0.09537516523175577,75.12562814070351
0.14761697435848892,0.015250719139472546,0.17445650422405395,-0.006164153323603743,0.10107018417496529,75.62814070351759
0.15538778383353608,0.015675754942034582,0.1817094751992693,-0.006443639279295873,0.10696671699006015,76.13065326633165
0.163370069939255,0.016092242677147435,0.18900796381930252,-0.0067271199291433804,0.11306382718886172,76.63316582914572
0.17155930834708066,0.016499276776344413,0.1963385188371108,-0.007014208207457806,0.11936016147019825,77.1356783919598
0.17995052767308956,0.016895984074809477,0.20368746438813212,-0.007304505221199812,0.125853952371322,77.63819095477388
0.18853832656478808,0.0172815269670273,0.2110409547458205,-0.007597601809355897,0.13254302259133943,78.14070351758794
0.19731689230871424,0.017655106302213536,0.21838502933278925,-0.007893080131529853,0.1394247909361007,78.643216080402
0.20628002082563623,0.01801596401016201,0.22570566764833278,-0.00819051527564332,0.14649627982529664,79.14572864321607
0.21542113791603013,0.01836338545053981,0.23298884378415888,-0.008489476874834112,0.1537541242945725,79.64824120603015
0.2247333216156026,0.018696701480986882,0.2402205802134677,-0.008789530723907481,0.1611945824183107,80.15075376884423
0.23420932551885743,0.019015290241615603,0.24738700055381346,-0.009090240386027418,0.16881354707237453,80.65326633165829
0.2438416029280424,0.0193185786556437,0.25447438102126857,-0.009391168780727693,0.17660655895058447,81.15577889447236
0.253622331685183,0.01960604364791435,0.2614692003119811,-0.009691879744766204,0.18456882074397055,81.65829145728642
0.2635434395462848,0.019877213084952675,0.2683581876670923,-0.009991939557837823,0.19269521238797654,82.1608040201005
0.2735966299590544,0.020131666441964794,0.275128368897845,-0.010290918425690217,0.2009803072796959,82.66331658291458
0.2837734081086287,0.020369035203801383,0.2817671101694002,-0.010588391913750031,0.2094183893649519,83.16582914572864
0.2940651070996987,0.02058900300837295,0.28826215936409033,-0.01088394232495474,0.21800347099351547,83.66834170854271
0.3044629141480145,0.020791305542318984,0.29460168486739574,-0.011177160016092832,0.22672931143998531,84.17085427135677
0.3149578966594939,0.02097573019989439,0.3007743116426108,-0.011467644647575754,0.2355894359878084,84.67336683417085
0.3255410280809058,0.021142115517044386,0.3067691544827476,-0.011755006362191974,0.24457715547451894,85.17587939698493
0.3362032134123567,0.021290350393496322,0.3125758483505652,-0.012038866889022821,0.2536855861975355,85.678391959799
0.3469353142784273,0.02142037311640504,0.3181845757394935,-0.012318860569324226,0.26290767008168126,86.18090452261306
0.3577281734617612,0.021532170199652582,0.32358609100952607,-0.012594635301794995,0.2722361950119824,86.68341708542712
0.36857263881010194,0.021625775053328414,0.32877174167271295,-0.01286585340525458,0.2816638152381585,87.1859296482412
0.37945958643515726,0.02170126649820865,0.33373348662259944,-0.013132192397339116,0.2911830717605566,87.68844221105527
0.39037994312916263,0.021758767140219508,0.338463911320697,-0.013393345688388767,0.300786412610986,88.19095477386935
0.4013247079325592,0.021798441619918257,0.3429562399707576,-0.013649023190239749,0.3104662129459864,88.69346733668341
0.4122849727937507,0.021820494751962967,0.3472043447281802,-0.013898951840147732,0.3202147948744242,89.19597989949749
0.4232519422693799,0.021825169569378307,0.35120275200723405,-0.014142876040553412,0.33002444694593097,89.69849246231155
0.4342169522209638,0.021812745287167434,0.35494664596290826,-0.014380558015854108,0.3398874432315334,90.20100502512562
0.44517148747092916,0.02178353519947819,0.3584318692370392,-0.01461177808776529,0.3497960619327879,90.7035175879397
0.45610719838815444,0.021737884524114567,0.3616549210699291,-0.0148363348712427,0.3597426034608588,91.20603015075376
0.4670159163799186,0.02167616820770004,0.36461295288892176,-0.015054045393287424,0.3697194079321385,91.70854271356784
0.4778896682737116,0.021598788704257223,0.36730376149436894,-0.0152647451372735,0.37971887203222743,92.2110552763819
0.48872068957864123,0.021506173739375765,0.3697257799711048,-0.015468288015719464,0.3897334652053112,92.71356783919597
0.49950143662210944,0.02139877407150706,0.3718780664599761,-0.015664546274672418,0.3997557451311344,93.21608040201005
0.5102245975630829,0.021277061261256693,0.37376029092919155,-0.015853410333086078,0.4097783724569005,93.71859296482413
0.5208831022885593,0.021141525458852218,0.37537272008927713,-0.016034788560753237,0.419794124756432,94.22110552763819
0.531470131204772,0.0209926732192509,0.37671620059833216,-0.01620860699849984,0.4297959096938238,94.72361809045225
0.5419791229392493,0.020831025353627346,0.3777921407060914,-0.016374809024462436,0.43977677737357496,95.22613065326632
0.5524037809740499,0.02065711482524956,0.37860249048610534,-0.016533354970355806,0.44972993186376337,95.7286432160804
0.562738079234345,0.020471484697020176,0.37914972080518083,-0.016684221691693157,0.4596487418832387,96.23115577889448
0.5729762666599791,0.02027468613723308,0.3794368011781739,-0.01682740209594993,0.469526750647997,96.73366834170854
0.5831128707907633,0.020067276489378207,0.37946717665433766,-0.016962904632665442,0.47935768487590197,97.23618090452261
0.5931427003989995,0.0198498174111242,0.3792447438787815,-0.017090752749455283,0.4891354629526727,97.73869346733667
0.6030608472051504,0.01962287308692302,0.3787738264692657,-0.017210984317864903,0.4988542022656064,98.24120603015075
0.6128626867146196,0.019387008518016436,0.3780591498445899,-0.01732365103293101,0.5085082257147839,98.74371859296483
0.622543878215359,0.019142787892983952,0.37710581563632495,-0.017428817790236,0.5180920674145781,99.24623115577889
0.6321003639774337,0.018890773041358132,0.37591927581063783,-0.017526562044141974,0.5276004776010883,99.74874371859296
0.6415283676967981,0.01863152197224829,0.3745053066215373,-0.017616973150777593,0.5370284267636896,100.25125628140702
0.650824392226372,0.018365587499358644,0.3728699825110943,-0.017700151699224804,0.5463711090212218,100.7537688442211
0.6599852166380716,0.018093515953264167,0.37101965006611953,-0.017776208834214463,0.5556239447654167,101.25628140703517
0.669007892659751,0.017815845981316733,0.3689609021344761,-0.01784526557349267,0.5647825825960127,101.75879396984925
0.6778897405310944,0.0175331074350969,0.36670055219771797,-0.017907452122864,0.5738429005736362,102.26130653266331
0.6866283443223359,0.017245820344902976,0.36424560909013837,-0.017962907191755955,0.5828010068179078,102.76381909547737
0.6952215467593337,0.016954493980379046,0.3616032521476237,-0.01801177731198173,0.5916532394794187,103.26633165829145
0.7036674435979886,0.016659625996026786,0.35878080686299496,-0.018054216162207957,0.6003961661151909,103.76884422110552
0.711964377590271,0.016361701660022484,0.35578572111782186,-0.0180903839004609,0.6090265824980018,104.2713567839196
0.7201109320832665,0.016061193164469387,0.35262554205404123,-0.01812044650683045,0.6175415108905403,104.77386934673366
0.728105924291636,0.01575855901495602,0.3493078936421674,-0.018144575138357367,0.6259381978157528,105.27638190954774
0.7359483982827544,0.015454243497062385,0.3458404549964438,-0.018162945497915847,0.6342141113549693,105.7788944723618
0.7436376177125663,0.015148676217256503,0.3422309394810091,-0.018175737218732824,0.642366938005478,106.28140703517587
0.7511730583488587,0.014842271715453444,0.33848707464505673,-0.01818313326601699,0.6503945791291268,106.78391959798995
0.7585544004172483,0.014535429146365,0.3346165830190631,-0.018185319357006183,0.6582951470233251,107.28643216080401
0.7657815208037009,0.01422853202665087,0.3306271637984966,-0.018182483400581633,0.666066960645466,107.78894472361809
0.7728544851458814,0.013921948044788857,0.3265264754359767,-0.018174814957442317,0.6737085410213359,108.29145728643215
0.7797735398440627,0.013616028930511096,0.3223221191576721,-0.018162504721683008,0.6812186063675152,108.79396984924622
0.7865391040207173,0.013311110380605222,0.3180216234148157,-0.018145744024475777,0.6885960669571005,109.2964824120603
0.793151761456314,0.013007512037850081,0.3136324292765577,-0.018124724360417344,0.6958400197573504,109.79899497487438
0.7996122525271965,0.012705537519846176,0.3091618767660254,-0.01809963693697352,0.7029497428670158,110.30150753768844
0.8059214661698135,0.012405474494507556,0.3046171921373606,-0.01807067224732831,0.7099246897802456,110.8040201005025
0.8120804318939323,0.012107594799005134,0.30000547608771977,-0.01803801966682789,0.7167644835029963,111.30653266331657
0.8180903118658754,0.011812154598988015,0.29533369289469985,-0.01800186707309992,0.7234689105468946,111.80904522613065
0.8239523930812349,0.011519394584959312,0.2906086604664195,-0.01796240048982603,0.7300379148244612,112.31155778894473
0.8296680796449574,0.01122954020274461,0.2858370412885427,-0.017919803754049633,0.7364715914685378,112.81407035175879
0.8352388851751845,0.01094280191506237,0.28102533424984233,-0.01787425820681316,0.742770180597676,113.31658291457286
0.8406664253457352,0.010659375491286574,0.2761798673255002,-0.017825942406837356,0.7489340610481267,113.81909547738692
0.8459524105806923,0.010379442322579854,0.27130679109518624,-0.017775031866881345,0.7549637440919656,114.321608040201
0.8510986389131447,0.010103169759670762,0.26641207307106884,-0.01772169881235463,0.7608598671597504,114.82412060301507
0.8561069890188079,0.009830711470649222,0.2615014928092534,-0.01766611196169175,0.7666231875849907,115.32663316582914
0.860979413433939,0.009562207816259336,0.2565806377767291,-0.017608436327945964,0.772254576386597,115.82914572864321
0.8657179319657312,0.0092977862402779,0.2516548999447151,-0.017548833041010733,0.777755012104353,116.33165829145727
0.8703246253021832,0.009037561672678182,0.24672947307831117,-0.01748745918983569,0.783125574701383,116.83417085427135
0.8748016288273173,0.008781636943392393,0.24180935069158654,-0.017424467683968013,0.7883674395464919,117.33668341708542
0.8791511266465435,0.008530103204600731,0.2368993246366482,-0.01736000713371945,0.7934818714882232,117.83919597989949
0.8833753458259617,0.008283040359590318,0.23200398429482533,-0.017294221748234098,0.7984702190314384,118.34170854271356
0.8874765508484308,0.008040517496342369,0.22712771633786796,-0.017227251250711825,0.8033339086262272,118.84422110552764
0.8914570382883465,0.007802593324120226,0.2222747050269723,-0.0171592308100266,0.8080744390779973,119.3467336683417
0.8953191317062237,0.0075693166114439514,0.21744893301750345,-0.01709029098796783,0.8126933760866448,119.84924623115577
0.899065176763397,0.007340726623948866,0.21265418263749045,-0.01702055770132593,0.8171923469218122,120.35175879396985
0.9026975365564287,0.00711685356073424,0.2078940376082718,-0.01695015219803996,0.8215730352403735,120.85427135678391
0.9062185871701354,0.006897718987915572,0.2031718851761112,-0.01687919104662566,0.8258371760514508,121.35678391959799
0.9096307134475285,0.006683336268197598,0.19849091862412313,-0.016807786138105883,0.8299865508334832,121.85929648241205
0.9129363049743923,0.006473710985386039,0.193854140134469,-0.016736044699671833,0.834022982807106,122.36180904522612
0.916137752275702,0.006268841362853984,0.18926436397149157,-0.016664069319313246,0.837948332366884,122.8643216080402
0.9192374432206252,0.006068718675072397,0.18472421995721425,-0.0165919579806671,0.8417644926742698,123.36683417085426
0.9222377596324031,0.005873327651405102,0.18023615721147934,-0.01651980410734888,0.8454733854135094,123.86934673366834
0.9251410740990549,0.0056826468714549095,0.17580244812987536,-0.016447696616046222,0.8490769567116234,124.3718592964824
0.9279497469804896,0.005496649151330338,0.1714251925735405,-0.01637571997767271,0.8525771732230271,124.87437185929647
0.9306661236073229,0.005315301920281344,0.16710632224589972,-0.016303954285898883,0.8559760183788191,125.37688442211055
0.9332925316664388,0.005138567587227002,0.16284760523238867,-0.01623247533239822,0.8592754888002928,125.87939698492461
0.935831278768108,0.004966403896769191,0.15865065068024498,-0.01616135468816772,0.8624775908757537,126.38190954773869
0.9382846501892946,0.004798764274353029,0.1545169135964851,-0.016090659790305342,0.8655843374993197,126.88442211055276
0.9406549067876245,0.004635598160297668,0.15044769974323313,-0.016020454033650093,0.8685977449699905,127.38693467336682
0.9429442830803645,0.004476851332480269,0.14644417061063109,-0.015950796866714797,0.8715198300489179,127.8894472361809
0.9451549854826677,0.004322466217510913,0.14250734844860827,-0.015881743891365877,0.8743526071724925,128.39195979899498
0.9472891906992745,0.0041723821902877765,0.13863812133984546,-0.01581334696572963,0.8770980858185722,128.89447236180905
0.949349044263808,0.0040265358618695206,0.13483724829730856,-0.01574565430982915,0.8797582680229108,129.3969849246231
0.951336659219789,0.0038848613556461994,0.13110536437076298,-0.01567871061348147,0.8823351460426214,129.89949748743717
0.9532541149374957,0.0037472905718304995,0.1274429857476876,-0.015612557146009202,0.8848307001632967,130.40201005025125
0.9551034560608082,0.0036137534403286433,0.12385051483501013,-0.015547231867345922,0.8872468966462321,130.90452261306532
0.9568866915782247,0.003484178162084362,0.1203282453090545,-0.015482769540139076,0.8895856858120434,131.4070351758794
0.9586057940122855,0.003358491439020455,0.11687636712204398,-0.015419201842478353,0.8918490002568319,131.90954773869345
0.9602626987217106,0.0032366186927305094,0.11349497145442683,-0.015356557480901369,0.8940387531969463,132.41206030150752
0.9618593033106436,0.003118484272098628,0.11018405560318578,-0.015294862303351652,0.8961568369382991,132.9145728643216
0.9633974671394873,0.0030040116500475982,0.10694352779716054,-0.01523413941178688,0.8982051214661211,133.41708542713567
0.9648790109319206,0.0028931236096358427,0.10377321193124377,-0.015174409274157214,0.9001854531509893,133.91959798994975
0.9663057164728063,0.00278574241974121,0.10067285221211936,-0.015115689835495395,0.9020996535669251,134.4221105527638
0.9676793263918171,0.0026817900005848484,0.09764211770897861,-0.015057996627880824,0.903949518417343,134.9246231155779
0.9690015440277431,0.002581188079361571,0.09468060680338918,-0.01500134287906024,0.9057368165646191,135.42713567839195
0.9702740333685775,0.0024838583362541203,0.09178785153319263,-0.014945739619526737,0.9074632891590666,135.92964824120602
0.9714984190626204,0.002389722541118117,0.08896332182598114,-0.014891195787877735,0.9091306488631123,136.4321608040201
0.972676286495984,0.0022987026811317457,0.0862064296183375,-0.014837718334290277,0.9107405791665154,136.93467336683415
0.9738091819320395,0.002210721079709956,0.08351653285762183,-0.014785312321969123,0.9122947337885021,137.43718592964825
0.9748986127084841,0.0021257005069874628,0.08089293938366811,-0.014733981026439441,0.9137947361627429,137.9396984924623
0.9759460474878775,0.002043564282177198,0.07833491068827547,-0.014683726032571438,0.9152421790011641,138.44221105527637
0.9769529165576342,0.0019642363681128573,0.07584166555089832,-0.014634547329239014,0.9166386239326514,138.94472361809045
0.9779206121756276,0.0018876414582841069,0.0734123835494005,-0.014586443401528409,0.917985601212773,139.4472361809045
0.9788504889577091,0.0018137050566723724,0.07104620844518408,-0.014539411320426162,0.9192846095007415,139.9497487437186
0.9797438643035979,0.0017423535506934176,0.06874225144241683,-0.01449344682992801,0.920537115699911,140.45226130653265
0.9806020188577611,0.00167351427754996,0.06649959432145665,-0.014448544431522069,0.9217445548581977,140.95477386934672
0.9814261970020404,0.001607115584294332,0.06431729244693192,-0.014404697466010684,0.922908330124916,141.4572864321608
0.9822176073769447,0.0015430868818967342,0.06219437765125689,-0.014361898192645496,0.9240298127606075,141.95979899497485
0.9829774234286673,0.00148135869360974,0.060129860994659445,-0.014320137865559855,0.9251103421965506,142.46231155778895
0.9837067839790323,0.0014218626979143445,0.058122735403076435,-0.01427940680749166,0.9261512261407385,142.964824120603
0.9844067938157208,0.0013645317663265805,0.05617197818551105,-0.01423969448079781,0.9271537407272181,143.46733668341707
0.9850785243002603,0.0013092999963375824,0.05427655343268126,-0.014200989555769171,0.928119130705787,143.96984924623115
0.9857230139913998,0.0012561027397528905,0.052435414298982276,-0.014163279976261926,0.9290486096691563,144.47236180904522
0.9863412692816254,0.0012048766266897764,0.05064750516997054,-0.01412655302266755,0.9299433603147901,144.9748743718593
0.9869342650446951,0.001155559585483889,0.048911763717734945,-0.014090795372249502,0.9308045347387438,145.47738693467335
0.9875029452922011,0.0011080908587489343,0.0472271228466641,-0.014055993156880152,0.9316332547589228,145.97989949748742
0.9880482238372856,0.0010624110158252078,0.0455925125322358,-0.014022132018216041,0.9324306122652993,146.4824120603015
0.9885709849637521,0.0010184619618449884,0.04400686155556692,-0.013989197160354192,0.9331976695947223,146.98492462311557
0.9890720840989283,0.0009761869436346379,0.042469099136542454,-0.013957173400015715,0.9339354599280624,147.48743718592965
0.9895523484887455,0.0009355305526653121,0.04097815646842285,-0.013926045214306583,0.9346449877075348,147.9899497487437
0.9900125778736005,0.0008964387252560112,0.03953296815688301,-0.013895796786108397,0.935327229072147,148.49246231155777
0.9904535451636722,0.0008588587402246859,0.0381324735664845,-0.013866412047154537,0.9359831323093123,148.99497487437185
0.9908759971124546,0.0008227392141750172,0.036775618077612995,-0.013837874718849275,0.9366136183207712,149.49748743718592
0.9912806549873657,0.0007880300945985995,0.03546135425693697,-0.01381016835088946,0.9372195811010566,150.0
